出表日期,公司代號,公司名稱,公司簡稱,外國企業註冊地國,產業別,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,總機電話,上櫃日期,普通股每股面額,實收資本額,私募股數,特別股,股票過戶機構,過戶電話,過戶地址,已發行普通股數或TDR原股發行股數
1150211,2754,亞洲藏壽司股份有限公司,亞洲藏壽司,－ ,16,台北市中山區中山北路3段32號6樓及6樓之1,54669129,藪內薰,藪內薰,野島茂,財務長,(02)8978-8558,20200917,新台幣                 10.0000元,468670000,0,0,中國信託商業銀行 代理部,(02)6636-5566,台北市重慶南路一段83號5樓,46867000
1150211,2755,揚秦國際企業股份有限公司,揚秦,－ ,16,桃園市中壢區合江路16號,42591908,卓靖倫,林麗玲,蔡國憲,總經理室專案處長,33412298,20201216,新台幣                 10.0000元,368287110,0,0,台新綜合證券(股)公司股務代理部,225048125,台北市中山區建國北路一段96號B1,36828711
1150211,2756,聯發國際餐飲事業股份有限公司,聯發國際,－ ,16,新北市汐止區新台五路一段95號18樓之7,80676602,鄭凱隆,陳聖中,陳聖中,代理總經理,(02)2654-8585,20220114,新台幣                 10.0000元,245975840,0,0,凱基證券股份有限公司股務代理部,(02)2389-2999,台北市重慶南路一段2號5樓,24597584
1150211,2916,滿心企業股份有限公司,滿心,－ ,38,新北市五股區五權六路十八號,12498877,李俊良,後藤憲二,郭建隆,副總經理,02-22997755,20050310,新台幣                 10.0000元,646268780,0,0,福邦證券(股)公司,02-2371-1658,台北市中正區忠孝西路一段6號6樓,64626878
1150211,2924,開曼群島宏太股份有限公司,宏太-KY,KY 開曼群島                                                    ,38,台北市中山區中山北路二段46號10樓,26335810,黃愛玲,黃愛玲(代理),曾毓文,副總經理,(02)2547-5805,20111202,新台幣                 10.0000元,520359340,19230760,0,台新證券股務代理部,(02)25048125,台北市中山區建國北路一段96號地下一樓,52035934
1150211,2926,誠品生活股份有限公司,誠品生活,－ ,32,臺北市信義區松德路204號B1,27952966,吳旻潔,吳旻潔,吳立傑,財務長,(02)6638-5168,20130130,新台幣                 10.0000元,473896500,0,0,元大證券(股)公司股務代理部,02-2586-5859,臺北市大安區敦化南路2段67號地下一樓,47389650
1150211,2937,集雅社股份有限公司,集雅社,－ ,38,高雄市苓雅區中正一路265號1樓,89266170,盧乾三,謝舒閔,何政鋒,副總經理,07-7273128,20170608,新台幣                 10.0000元,435419750,0,0,第一金證券股份有限公司,02-2563-5711,台北市大安區安和路一段 27 號6 樓,43541975
1150211,2941,米斯特國際企業股份有限公司,米斯特,－ ,38,台中市西屯區市政北二路236號22樓之1,53167020,林瑞豪,林瑞達,林瑞達,總經理,422549396,20240320,新台幣                 10.0000元,153900000,0,0,群益金鼎證券(股)公司股務代理部,227035000,台北市大安區敦化南路二段97號B2,15390000
1150211,2947,振宇五金股份有限公司,振宇五金,－ ,38,台中市西屯區環中路二段27號,29092696,曾善,洪國展,洪珮芳,副總經理,04-24261580,20211006,新台幣                 10.0000元,214930600,0,0,元大證券股份有限公司股務代理部,02-25865859,臺北市大安區敦化南路2段67號地下一樓,21493060
1150211,2948,寶陞國際股份有限公司,寶陞,－ ,38,台北市信義區忠孝東路五段508號16樓,52330474,黃楷倫,黃楷倫,黃楷倫,董事長兼總經理,02-27261668,20231212,新台幣                 10.0000元,310000000,0,0,兆豐證券股份有限公司股務代理部,02-33930898,台北市中正區忠孝東路二段95號1樓,31000000
1150211,2949,欣新網股份有限公司,欣新網,－ ,36,台北市信義區東興路45號6樓,54357012,陳德仁,黃懷恩,游偉民,財務長,(02)8768-3830,20231215,新台幣                 10.0000元,306411000,0,0,台新綜合證券股份有限公司,(02)2504-8125,台北市中山區建國北路一段96號B1,30641100
1150211,3064,泰偉電子股份有限公司,泰偉,－ ,32,新北市三重區興德路111-1號10樓,70613972,林國泰,林佑翔,林佑翔,總經理,(02)85110555,20040609,新台幣                 10.0000元,130114510,6134423,0,元富證券股份有限公司,(02)27686668,台北市松山區光復北路11巷35號地下一樓,13011451
1150211,3066,李洲科技股份有限公司,李洲,－ ,26,新北市汐止區新台五路一段97號27樓,4541794,李明順,李明順(代行),李明順,董事長,(02)27066258,20041202,新台幣                 10.0000元,830706120,5500000,0,群益證券股份有限公司,02-27023999,台北市大安區敦化南路二段97號B2,83070612
1150211,3067,全域股份有限公司,全域,－ ,31,新北市三重區興德路96號3樓,4934334,姚天齊,鄒景文,高維宏,協理,(02)2659-2166,20031021,新台幣                 10.0000元,200000000,0,0,元大証券股份有限公司,(02)2586-5859,106台北市大安區敦化南路二段67號地下一樓,20000000
1150211,3071,協禧電機股份有限公司,協禧,－ ,25,屏東市橋南里工業六路東段六號,90724033,黃瑞益,黃瑞益,蔡政宏,董事長室特助,(07)2695166,20041230,新台幣                 10.0000元,1100000000,0,0,中國信託商業銀行代理部,02-66365566,台北市中正區重慶南路一段八十三號五樓,110000000
1150211,3073,天方能源科技股份有限公司,天方能源,－ ,35,台北市中山區吉林路99號3樓,86298705,甘正智,甘正智,徐韋吉,協理,02-2502-2285,20071008,新台幣                 10.0000元,395110280,0,0,兆豐證券股份有限公司股務代理部,02-33930898,台北市忠孝東路二段95號1樓,39511028
1150211,3078,僑威科技股份有限公司,僑威,－ ,28,桃園市桃園區幸福路208號13樓,84573516,潘君威,楊琇華,楊丹純,財務長,03-2220268,20050131,新台幣                 10.0000元,2273910640,0,0,富邦綜合證券(股)公司股務代理部,02-2361-1300,台北市中正區許昌街17號11樓,227391064
1150211,3081,聯亞光電工業股份有限公司,聯亞,－ ,27,台南市善化區南科九路12號,16022634,張景溢,羅淇生,楊吉裕,財務長,(06)5058999,20150722,新台幣                 10.0000元,925172770,0,0,華南永昌綜合證券(股)公司,(02)27186425,台北市松山區民生東路四段54號4樓,92517277
1150211,3083,中華網龍股份有限公司,網龍,－ ,32,台北市南港區南港路三段四十七巷二號四樓,70541704,王俊博,呂學森,呂學森,總經理,02-2652-2689,20031202,新台幣                 10.0000元,864868580,0,0,永豐金證券股份有限公司,02-2381-6288,台北市博愛路十七號三樓,86486858
1150211,3085,台鋼新零售股份有限公司,新零售,－ ,36,台北市內湖區新湖一路128巷15號6樓,89836340,李雲琴,吳李祺,李雲琴,董事長,(02)25596189,20040301,新台幣                 10.0000元,690192880,62578707,0,台新綜合證券股份有限公司,(02)25048125,台北市中山區建國北路一段96號B1,69019288
1150211,3086,華義國際數位娛樂股份有限公司,華義,－ ,32,台北市內湖區行愛路141巷39號6樓,84453385,施書凱,施書凱,李俊德,財務長,55590070,20040329,新台幣                  1.0000元,272710510,0,0,台新證券股務代理部,02-2504-8125,台北市建國北路一段96號B1,272710510
1150211,3088,艾訊股份有限公司,艾訊,－ ,25,新北市汐止區南興路55號8樓,23718011,楊裕德,"吳偉熊, 范奇文",黃士青,資深特別助理,(02)8646-2111,20050428,新台幣                 10.0000元,1080790170,0,0,台新證券股務代理部,(02)2504-8125,台北市建國北路一段96號地下一樓,108079017
1150211,3093,台灣港建股份有限公司,港建*,－ ,31,桃園市蘆竹區南崁路2段66號5樓之4,4655310,王藝橋,廖豐瑩,廖豐瑩,總經理,03-3529333,20050617,新台幣                  2.5000元,362888940,0,0,永豐金證券股份有限公司,02-23816288,台北市中正區博愛路17號3樓,145155576
1150211,3095,及成企業股份有限公司,及成,－ ,27,新北市中和區建二路111號,33724081,張正寬,張翠雲,張宏羽,營運總經理,(02)2222-6638,20050526,新台幣                 10.0000元,161800000,1758464,6180000,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,10000000
1150211,3105,穩懋半導體股份有限公司,穩懋,－ ,24,桃園市龜山區華亞科技園區科技七路69號,70752257,陳進財,陳國樺,曾經洲,協理,03-397-5999,20111213,新台幣                 10.0000元,4239403840,0,0,福邦證券股份有限公司股務代理部,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,423940384
1150211,3114,好德科技股份有限公司,好德,－ ,28,台北市松山區敦化南路一段25號6樓,20799897,陳國鴻,莊昆霖,李昆正,總經理特別助理,02-25708818,20040325,新台幣                 10.0000元,651297920,0,0,元富證券股份有限公司,02-27686668,台北市光復北路11巷35號B1,65129792
1150211,3115,富育榮綱股份有限公司,富榮綱,－ ,28,台北市士林區承德路四段172號7樓,86825235,承育企業管理顧問有限公司-代表人陳銘寬,羅&#26187;仁,陳銘寬,董事長,(02)28816777,20050408,新台幣                 10.0000元,721976150,56947044,0,福邦證券股份有限公司,02-2383-6888,台北市中正區忠孝西路一段6號6樓,72197615
1150211,3118,進階生物科技股份有限公司,進階,－ ,22,新北市汐止區康寧街169巷80號,23348952,邱春龍,葉家賢,邱春龍,董事長,02-26959935,20080521,新台幣                 10.0000元,324528600,0,0,元大證券股份有限公司,(02)2586-5859,106臺北市大安區敦化南路2段67號地下一樓,32452860
1150211,3122,笙泉科技股份有限公司,笙泉,－ ,24,(30288)新竹縣竹北市台元一街8號7樓之一,16945166,溫國良,林明為,廖崇榮,副總經理,03-5601501,20150126,新台幣                 10.0000元,407648260,0,0,群益金鼎證券(股)公司股務代理部,02-2702-3999,台北市大安區敦化南路二段97號B2,40764826
1150211,3128,昇銳智慧科技股份有限公司,昇銳,－ ,26,桃園市八德區長興路六七三號,22601576,江添貴,蕭哲彥,蕭哲彥,總經理,03-3653121,20060904,新台幣                 10.0000元,473174890,0,0,群益金鼎證券股份有限公司,02-27023999,台北市敦化南路二段97號地下二樓,47317489
1150211,3131,弘塑科技股份有限公司,弘塑,－ ,31,30095新竹市香山區中華路六段89號,84355899,張泰山,黃富源,梁勝銓,副總經理,03-5183030,20110117,新台幣                 10.0000元,292160150,0,0,群益金鼎證券股份有限公司,02-2702-3999,106台北市大安區敦化南路二段97號B2,29216015
1150211,3141,晶宏半導體股份有限公司,晶宏,－ ,24,台北市內湖區內湖路一段308號12樓,70392248,徐豫東,徐豫東,徐豫東,總經理,02-87978947,20140314,新台幣                 10.0000元,754607280,0,0,福邦證券股份有限公司,02-2371-1658,台北市中正區忠孝西路一段六號六樓,75460728
1150211,3147,大綜電腦系統股份有限公司,大綜,－ ,30,高雄市九如一路502號20樓之1,86059612,李志忠,曾振順,洪明和,經理,07-3458011,20180529,新台幣                 10.0000元,436868310,0,0,華南永昌綜合證券股份有限公司,02-27186425,台北市民生東路四段54號4樓,43686831
