出表日期,公司代號,公司名稱,公司簡稱,外國企業註冊地國,產業別,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額,私募股數,特別股,編制財務報表類型,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,網址,已發行普通股數或TDR原股發行股數
1150211,1580,新麥企業股份有限公司,新麥,－ ,5,新北市五股區五權六路23號,12461082,謝順和,謝順和,蕭淑娟,副總經理,翁麗勉,02-22981148,19830927,20071210,新台幣                 10.0000元,493392420,0,0,1,台新證券股務代理部,02-25048125,台北市建國北路一段96號B1,勤業眾信聯合會計師事務所,張耿禧,劉力維,SINMAG,"No.23, Wuquan 6th Rd., Wugu Dist.New Taipei City , Taiwan (R.O.C.)",02-22981718,sinmag.tw@sinmag.com.tw,www.sinmag.com.tw,49339242
1150211,1584,精剛精密科技股份有限公司,精剛,－ ,20,台南市柳營區工一路15號(環保科技園區),80334042,王炯棻,邱俊宏 (兼任),邱俊宏,執行長,林美伶,06-6235143,20020515,20071128,新台幣                 10.0000元,2324705330,0,0,1,凱基證券股份有限公司,02-23892999,100台北市中正區重慶南路一段2號5樓,資誠聯合會計師事務所,田中玉,徐惠榆,STC,"No.15,Gong 1st Road,Da Nong Village, Liouying Township, Tain",06-6233311,http://www.s-tech.com.tw,http://www.s-tech.com.tw,232470533
1150211,1586,和勤精機股份有限公司,和勤,－ ,5,彰化縣伸港鄉興工路40號,86985605,林輝政,鄭婷勻,鄭婷勻,總經理,陳益莊,04-7980339,19921109,20120109,新台幣                 10.0000元,1068494670,20000000,0,1,群益金鼎證券股份有限公司,02-2702-3999,台北市大安區敦化南路二段97號地下二樓,安侯建業聯合會計師事務所,高鈺倫,陳宗哲,CFTC,"No. 40, Xinggong Rd., Shengang Township,Changhua County 509, Taiwan (R.O.C.)",04-7980329,cftc.service@cftc-hc.com.tw,http://www.cftc.tw,106849467
1150211,1591,英屬開曼群島商駿吉控股(股)公司,駿吉-KY,KY 開曼群島                                                    ,5,"Suite 102, Cannon Place, North Sound Rd., George Town",53650116,胡德立,胡德立,陳志德,子公司董事長,田書祥,02-77097667,20091119,20120323,新台幣                 10.0000元,380480470,3250000,0,1,元大證券股份有限公司股務代理部,02-25048125,106045臺北市大安區敦化南路2段67號地下一樓,安永聯合會計師事務所,楊弘斌,林世寰,INMAX,"7F., No. 3, Sec. 5, Nanjing E. Rd., Songshan Dist.Taipei City 105409 , Taiwan (R.O.C.)",02-27602877,ky1591@inmax-fasteners.com,http://inmaxholding.com/,38048047
1150211,1593,祺驊股份有限公司,祺驊,－ ,37,新竹縣湖口鄉德興路231號,97432341,李佳蓉,李佳蓉,黃寧民,財務部副總經理,連子瑞,03-6992860,19970315,20120613,新台幣                 10.0000元,397847720,0,0,1,富邦綜合證券(股)公司股務代理部,02-23611300,台北市許昌街17號11樓,勤業眾信聯合會計師事務所,邱鏞銘,張至誼,CHI HUA,"No. 231 , Dexing  Rd.HuKou Township , Hsinchu County,Taiwan",03-5906393,ir@chihua.com.tw,http://www.chihua.com.tw,39784772
1150211,1595,川寶科技股份有限公司,川寶,－ ,28,桃園市蘆竹區長興路三段277巷33號,16860440,張鴻明,曾偉倫,簡麗真,協理,張亦喬,03-3249948,19990219,20111004,新台幣                 10.0000元,541819800,0,0,1,福邦證券股份有限公司,02-2383-6888,台北市中正區忠孝西路一段6號6樓,勤業眾信聯合會計師事務所,方蘇立,張至誼,CBT,"No.33, Ln. 277, Sec. 3, Changxing Rd., Luzhu Dist.,Taoyuan City 338, Taiwan",03-3249968,spokesman@cbtech.com.tw,http://www.cbtech.com.tw/,54181980
1150211,1599,宏佳騰動力科技股份有限公司,宏佳騰,－ ,5,台南市山上區南洲里南洲41號,80621419,鍾杰霖,鍾杰霖,林佳慧,經理,胡春慧,06-5783988,20031225,20121225,新台幣                 10.0000元,745287640,0,0,1,統一綜合證券股份有限公司,02-27463797,臺北市松山區東興路8號B1,資誠聯合會計師事務所,林姿妤,葉芳婷,AEON,"No.41,Nanzhou,Shanshang Dist.,Tainan City 74342,Taiwan(R.O.C.)",06-5783136,aeon@aeonmotor.com.tw,www.aeonmotor.com,74528764
1150211,1742,台灣蠟品股份有限公司,台蠟,－ ,21,桃園市大園區中山南路二段610號3樓,22625269,陳霆瑞,待聘任,曾柏堯,財務主管,待聘任,05-2219180,19870813,20040514,新台幣                 10.0000元,926713000,46057341,0,1,康和綜合證券股份有限公司,02-87871118,台北市信義區基隆路一段176號B1,霈昇聯合會計師事務所,林育雅,邱奕志,TWC,"3rd Floor, No. 610, Section 2, Zhongshan South Road, Dayuan DistrictTaoyuan City, Taiwan, R.O.C.",05-2130645,twx6688@ms26.hinet.net,http://www.wax.com.tw/,92671300
1150211,1777,生泰合成工業股份有限公司,生泰,－ ,22,台南市新營區開元路168號,72197621,蕭振明,洪俊誠,蕭振明,董事長,莊美琪,06-6362121~3,19821109,20051019,新台幣                 10.0000元,445917130,0,0,2,元大證券股份有限公司股務代理部,(02)2586-5859,106臺北市大安區敦化南路2段67號地下一樓,資誠聯合會計師事務所,葉芳婷,徐惠榆,SYN-TECH,"No.168 Kai Yuan Rd., Hsin Ying DistrictTainan City 73055, Taiwan, R.O.C",06-6351165,fc3@syn-tech.com.tw,https://www.syn-tech.com.tw,44591713
1150211,1781,合世生醫科技股份有限公司,合世,－ ,22,新北市中和區建一路186號9樓,97304042,楊國和,李紹弘,李淑芬,財務處副總,沈瞬良,82271300,19961216,20041224,新台幣                 10.0000元,474076050,0,0,1,富邦綜合證券股份有限公司,02-2361-1300,台北市中正區許昌街17號2樓,資誠聯合會計師事務所,周筱姿,林冠宏,H&L,"9F.NO.186 Jian Yi  Road Chung Ho CityTaipei,Taiwan",82271301,public@hlmt.com.tw,www.healthandlife.com.tw,47407605
1150211,1784,訊聯生物科技股份有限公司,訊聯,－ ,22,台北市內湖區新湖一路36巷28號1樓,70836411,蔡政憲,康清原,康清原,總經理,楊志峰,(02)27951777,20000817,20070726,新台幣                 10.0000元,531211910,0,0,1,中國信託商業銀行(股)公司代理部,(02)66365566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,黃珮娟,鄧聖偉,BIONET CORP.,"1F,No.28, Ln. 36 , Xinhu 1st  Rd.Neihu Dist.,Taipei  City 11497, , Taiwan",(02)27938009,investment@BionetCorp.com,http://www.BionetCorp.com,53121191
1150211,1785,光洋應用材料科技股份有限公司,光洋科,－ ,31,台南市安南區工業三路1號,43787872,&#40644;&#21843;峰,&#40644;&#21843;峰,&#40644;&#21843;峰,董事長暨總經理,孫玉玲,06-5110123,19780829,20050131,新台幣                 10.0000元,5960022430,0,0,1,永豐金證券股份有限公司,02-23816288,台北市中正區博愛路17號3樓,勤業眾信聯合會計師事務所,楊朝欽,李季珍,Solar,"No.1, Gongye 3rd Rd., Annan Dist,Tainan City 70955, Taiwan (R.O.C.)",06-3843216,shareholders@solartech.com.tw,http://www.solartech.com.tw/tw/index.html,596002243
1150211,1788,杏昌生技股份有限公司,杏昌,－ ,22,新北市三重區重新路5段609巷2號8樓之2,23161816,李忠良,陳國師,李映芬,管理處副總經理,張耀元,6626-1166,19890213,20090720,新台幣                 10.0000元,445209710,0,0,1,元富證券股份有限公司股務代理部,(02)2768-6668,台北市松山區光復北路11巷35號地下1樓,安侯建業聯合會計師事務所,楊樹芝,洪士剛,HCI,"8F.2,NO.2,Ln.609,Sec.5,Chongxin Rd.,Sanchong Dist.,New Taipei City 24159,TaiwaR.O.C.",2995-3363,jerry_pon108@hiclearance.com.tw,www.hiclearance.com.tw,44520971
1150211,1796,金穎生物科技股份有限公司,金穎生技,－ ,2,台南市新營區新工路33號,16962158,張曉莉,金晉德,蕭興義,副總經理,金晉德,06-5109001,19990717,20180122,新台幣                 10.0000元,414597930,0,0,1,兆豐證券股份有限公司,(02)33930898,台北市忠孝東路二段95號1樓,資誠聯合會計師事務所,徐惠榆,林秀珊,GeneFerm,"No.33,Shin-Kung RdShinying City,Tainan County,Taiwan",06-5055750,geneferm@geneferm.com,http://www.geneferm.com,41459793
1150211,1799,易威生醫科技股份有限公司,易威,－ ,22,新竹科學園區新竹市東區研發二路10號1樓,16570131,林翰飛,李艾平,吳雪君,財務協理,洪筠,(03)666-9596,19980810,20081110,新台幣                 10.0000元,1246895270,77002580,0,1,宏遠證券股份有限公司股務代理部,(02)2326-8818,臺北市大安區信義路四段236號3樓,資誠聯合會計師事務所,劉倩瑜,鄭雅慧,EASYWELL,"1F., No.10, Yanfa 2nd Road, Hsinchu Science ParkHsinChu 30076, TAIWAN(R.O.C)",(03)666-9697,spokesman@easywellbio.com,http://www.easywellbio.com,124689527
1150211,1813,寶利徠光學科技股份有限公司,寶利徠,－ ,22,33759桃園市大園區南港里11鄰長發路406號,84449952,宋一新,倪鏡如,倪鏡如,總經理,陸芸平,03-3853934,19930922,20090804,新台幣                 10.0000元,466355100,0,0,1,群益金鼎證券股份有限公司,02-27023999,台北市松山區敦化南路二段97號B2,勤業眾信聯合會計師事務所,趙永祥,陳彥君,Polylite,"No. 406, Changfa Rd., Dayuan Dist.Taoyuan City 33759, Taiwan R.O.C.",03-3863837,info@gialens.com.tw,http://www.gialens.com.tw　,46635510
1150211,1815,富喬工業股份有限公司,富喬,－ ,28,雲林縣斗六市榴南里斗工十六路8號,16834268,張元賓,陳壁程,胡銘倫,協理,楊閔安,02-27357658,19990114,20060123,新台幣                 10.0000元,5848862540,0,0,1,富喬工業股份有限公司股務室,02-2705-1333,台北市敦化南路二段九十八號十二樓,勤業眾信聯合會計師事務所,劉建良,王儀雯,FFG,"NO8.Dou Kong 16 RoadDou Leu City,Taiwan.",02-27357698,fulltech@ffg.com.tw,http://www.ffg.com.tw,584886254
1150211,2035,唐榮鐵工廠股份有限公司,唐榮公司,－ ,10,高雄市小港區沿海二路四號,75460005,趙健在,周明宏,劉岳前,管理部門副總經理,林郁,07-8022811,19400501,20060707,新台幣                 10.0000元,3500000000,0,0,2,群益金鼎證券股份有限公司,02-2702-3999,台北市敦化南路2段97號地下2樓,安侯建業會計師事務所,黃欣婷,韓沂璉,TE　　,"No.4,  Yen Hai 2nd Rd., Hsiao Kang .,Kaohsiung City,Taiwan ROC",07-8010801,teweb@mail.tangeng.com.tw,http://www.tangeng.com.tw,350000000
1150211,2061,風青實業股份有限公司,風青,－ ,6,高雄市苓雅區新光路38號30樓之4,89260422,陳信宇,林水成,蔡玉賢,稽核主管,王文英,07-2693339,19940910,20101209,新台幣                 10.0000元,573780520,0,0,1,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,吳建志,王駿凱,FENG CHING,"30F.-4, No. 38, Xinguang Rd., Lingya Dist.,Kaohsiung City 802, Taiwan (R.O.C.)",07-2693515,r7873942@ms23.hinet.net,http://www.fcm.com.tw,57378052
1150211,2063,世鎧精密股份有限公司,世鎧精密,－ ,10,高雄市岡山區本洲里本工一路一號,86637206,杜泰源,林上安,鄭守傑,副總經理,張威健,07-6225669,19920428,20100907,新台幣                 10.0000元,481014530,0,0,1,永豐金證券股份有限公司,02-23816288,10044台北市中正區博愛路17號3樓,勤業眾信聯合會計師事務所,許凱甯,郭麗園,SHEH KAI,"NO.1, Ben Gong 1st Rd., Ben Chou Industrial Park, Kangshan TownKaohsiung82059, Taiwan",07-6230964,roger@shehkai.com.tw,www.shehkai.com.tw,48101453
1150211,2064,晉椿工業股份有限公司,晉椿,－ ,10,50544彰化縣鹿港鎮鹿工路24號,30826319,陳譽,蕭良賢,陳譽,董事長,黃俊勳,04-7810000,19710510,20141226,新台幣                 10.0000元,693300000,0,0,1,群益金鼎證券股份有限公司,02-27035000,台北市大安區敦化南路二段97號B2,安侯建業聯合會計師事務所,黃柏淑,吳仲舜,CAMELLIA,"No.24, Lugong Rd., Chang Bin Industrial ParkLugang Town, Chang Hua County , Taiwan",04-7810099,cametal.taiwan@msa.hinet.net,http://www.camelliametal.com,69330000
1150211,2065,世豐螺絲股份有限公司,世豐,－ ,10,(82547)高雄市橋頭區頂鹽里復興西路810號,31213886,杜泰源,陳駿彥,陳秀珠,副總,陳姿吟,07-6116116,19730809,20170421,新台幣                 10.0000元,635167070,0,0,1,富邦綜合證券股份有限公司,02-23611300,台北市許昌街17號2樓,安侯建業聯合會計師事務所,蘇彥達,許振隆,SF,"No.810, Fuxing W. Rd.Kaohsiung City 82547, Taiwan (R.O.C.)",07-6197589,investor@shehfung.com,www.shehfung.com,63516707
1150211,2066,世德工業股份有限公司,世德,－ ,5,高雄市大寮區(831)大發工業區華西路20號,22546808,陳光裕,陳光裕,陳怡樺,財務主管,黃雅鈴,07-7889168,19880129,20130924,新台幣                 10.0000元,444495270,0,0,1,台新綜合證券(股)公司股務代理部,02-25048125,台北市中山區建國北路一段96號B1,安侯建業聯合會計師事務所,陳永祥,許振隆,SUMEEKO,"No.20,HuaxiRd.,Ta-Fa Industrial Dist.Kaohsiung County 831 Taiwan,R.O.C.",07-7887868,invest@sumeeko.com,www.sumeeko.com,44449527
1150211,2067,嘉鋼精密工業股份有限公司,嘉鋼,－ ,5,(62155)嘉義縣民雄鄉民雄工業區成功二街21號,66402912,曹恆健,陳龍芳,陳龍芳,總經理,蕭景淑,(05)2211411,19740411,20140526,新台幣                 10.0000元,451381770,0,0,1,中國信託商業銀行代理部,(02)66365566,台北市重慶南路一段83號5樓,國富浩華聯合會計師事務所,李國銘,謝仁耀,CYSTEEL,"21 Chenggong 2nd St. Minxiong Township,Chia Yi County, Taiwan",(05)2208033,abby@cysteel.com.tw,http://www.cysteel.com.tw/,45138177
1150211,2070,精湛光學科技股份有限公司,精湛,－ ,5,高雄市湖內區忠孝街110巷58號,89855649,吳俊男,許宏安,許宏安,總經理,吳虹臻,07-6937937,19940921,20181217,新台幣                 10.0000元,357828000,0,0,1,福邦證券股份有限公司,02-2383-6888,台北市中正區忠孝西路一段6號6樓,資誠聯合會計師事務所,林秀珊,葉芳婷,Ching Chan,"No. 58,Lane 110,Zhongxiao St.,Hu-Nei Dist., Kaohsiung City 82945,TaiwanKaohsiung 82945, Taiwan",07-6937772,ccm@ccm3s.com,http://www.ccm3s.com/,35782800
1150211,2073,雄順金屬股份有限公司,雄順,－ ,10,高雄市路竹區順安路393號,24512261,陳啟祥,陳啟祥,林上文,副總經理,顏仲裕,07-6960166,20100421,20230621,新台幣                 10.0000元,275000000,0,0,2,永豐金證券(股)公司股務代理部,02-2381-6288,台北市中正區博愛路17號3樓,勤業眾信聯合會計師事務所,劉裕祥,劉承翰,SSMC,"No. 393, Shun'an Rd., Luzhu Dist.,Kaohsiung City 821010, Taiwan",07-6968123,ir@ssmc.com.tw,www.ssmc.com.tw,27500000
1150211,2221,大甲永和機械工業股份有限公司,大甲,－ ,20,台中市大甲區幼獅路69號,56615319,黃士峰,鍾志清,鍾志清,總經理,王淑瑜,04-26815496,19770819,20070801,新台幣                 10.0000元,423250000,0,0,1,凱基證券股份有限公司,02-2389-2999,台北市重慶南路一段2號5樓,勤業眾信聯合會計師事務所,蔣淑菁,劉力維,DAJA、YHMCO　,"No.69 ,Yu-Shih Rd., Dajia Dist.Taichung City  437, Taiwan",04-26815456,yhmco@yhmco.com.tw,http://www.yhmco.com.tw/,42325000
1150211,2230,泰茂實業股份有限公司,泰茂,－ ,5,(72046)台南市官田區二鎮里實踐街10號,86070187,呂萬賢,呂萬傑,呂萬傑,總經理,吳美玲,06-6991235,19910206,20130418,新台幣                 10.0000元,680296050,0,0,1,兆豐證券股份有限公司,(02)3393-0898,臺北市忠孝東路二段95號8樓,勤業眾信聯合會計師事務所,廖鴻儒,王騰葦,C.T.I.,"10 Shih Chien Street Kuan Tien Industrial ParkTainan City 720, Taiwan (R.O.C.)",06-6990675,cti@ctico.com.tw,http://www.ctico.com.tw/,68029605
1150211,2235,謚源實業股份有限公司,謚源,－ ,5,33378桃園市龜山區大華里頂湖路24號,22479934,吳碣石,吳碣石,王妤暄,發言人,吳哲瑋,(03)3973868,19870416,20141215,新台幣                 10.0000元,358780000,0,0,2,統一證券股份有限公司股務代理部,(02)27478266,台北市松山區東興路8號B1樓,安永聯合會計師事務所,李育儒,王瑄瑄,I YUAN,"No.24,Dinghu Rd.,Guishan TownshipTaoyuan County,Taiwan(R.O.C.)",(03)3973199,florence@tiy-motor.com.tw,www.tiy-motor.com,35878000
1150211,2596,綠意開發股份有限公司,綠意,－ ,14,台北市市民大道五段69號2樓,12860948,許燈城,許燈城,許志豪,特別助理,林秀娟,(02)8787-8096,20010504,20090601,新台幣                 10.0000元,1000000000,0,0,1,福邦證券股份有限公司,(02)2371-1658,台北市忠孝西路一段6號6樓,安侯建業聯合會計師事務所,陳雅琳,唐嘉鍵,ReaLy,"2F,NO.69,CIVIL BOULEVARD, Sec.5Taipei, Taiwan, R.O.C.",(02)8787-3416,services@realycorp.com.tw,www.realycorp.com.tw,100000000
1150211,2640,台灣大車隊股份有限公司,大車隊,－ ,36,台北市中山區長安東路二段162號2樓,27767961,林村田,楊榮輝,林念臻,執行長,張天瑋,02-25160966,20050909,20121107,新台幣                 10.0000元,592649560,0,0,1,凱基證券(股)公司-股務代理部,02-23892999,台北市中正區重慶南路一段2號5樓,資誠聯合會計師事務所,支秉鈞,涂展源,55688,"2F., No.162, Sec. 2, Chang’an E. Rd., Zhongshan Dist.,Taipei City 104, Taiwan (R.O.C.)",02-25160900,ir@taiwantaxi.com.tw,www.taiwantaxi.com.tw,59264956
1150211,2641,正德海運股份有限公司,正德,－ ,15,(802)高雄市苓雅區海邊路31號3樓,16467798,蔡邦權,蔡邦權,林勝鶴,副總經理,申翔宇,07-9697988,19980929,20141009,新台幣                 10.0000元,3271316890,0,0,1,福邦證券股務代理部,02-2383-6888,台北市中正區忠孝西路一段6號6樓,資誠聯合會計師事務所,王駿凱,廖阿甚,Franbo Lines,"3F, No.31, Haibian Rd., Lingya Dist.,Kaohsiung City 802, Taiwan (R.O.C.)",07-9697997,kevincheng@franbo.com.tw,www.franbo.com.tw,327131689
1150211,2643,捷迅股份有限公司,捷迅,－ ,15,台北市內湖區瑞光路34號4樓,12479610,顧城明,孫鋼銀,葉子菁,副總經理,楊永華,(02)8792-9897,19840213,20160304,新台幣                 10.0000元,350000000,0,0,1,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,黃海悅,劉力維,Soonest,"4F, NO. 34, Rui Guang Rd.,Taipei, 11491 Taiwan, R. O. C.",(02)8792-9658,soonestinv@soonest.com.tw,http://www.soonest.com,35000000
1150211,2718,全心投資控股股份有限公司,全心投控,－ ,14,台北市松山區八德路三段30號7樓,12198180,楊顯玲,劉潔芝,劉潔芝,總經理,夏美足,02-2570-8800,19770408,20110329,新台幣                 10.0000元,875760000,15000000,0,1,元大證券股份有限公司,02-2586-3117,臺北市大安區敦化南路2段67號地下一樓,資誠聯合會計師事務所,李秀玲,徐聖忠,Allmind,"7F., No. 30, Sec. 3, Bade Rd., Songshan Dist.Taipei City , Taiwan",02-2570-9911,tiffany.sha@allmindholdings.com.tw,www.allmindholdings.com.tw,87576000
1150211,2719,台鋼燦星國際旅行社股份有限公司,燦星旅,－ ,16,台北市中山區民生東路二段161、163號7樓,80355209,侯佑霖,羅俊英,羅俊英,總經理,待補,(02)8183-3888,20030224,20120224,新台幣                 10.0000元,691825000,60581954,0,1,康和綜合證券股份有限公司,02-8787-1118,台北市信義區基隆路一段176號B1,資誠聯合會計師事務所,田中玉,林秀珊,Star Travel,"7F., No. 161、163, Sec. 2, Minsheng E. Rd., Zhongshan Dist.Taipei City, Taiwan",(02)2796-6168,-,www.startravel.com.tw,69182500
1150211,2724,藝舍國際創新股份有限公司,藝舍-KY,KY 開曼群島                                                    ,20,新北市板橋區華江一路111號13樓之6,28982799,賴運興,李宗錦,賴運興,董事長,林紫芳,(02)2999-5968,20020115,20120529,新台幣                 10.0000元,596563450,40570200,0,1,第一金證券股份有限公司,(02)2563-5711,台北市大安區安和路一段27號六樓,安侯建業聯合會計師事務所,池世欽,黃欣婷,AAGD-KY,"13F.-6, No. 111, Huajiang 1st Rd., Banqiao Dist.,New Taipei City  220, Taiwan (R.O.C.)",(02)2254-6872,investors@aagd.com.tw,https://www.aagd.com.tw/,59656345
1150211,2726,雅茗天地股份有限公司,雅茗-KY,KY 開曼群島                                                    ,16,臺北市內湖區新湖一路77號6樓,38634004,吳伯超,江錫毅,江錫毅,總經理,"張乃方, 詹文良",(02)2790-0689,20091222,20141224,新台幣                 10.0000元,379224540,3000000,0,1,中國信託商業銀行股份有限公司,(02)6636-5566,台北市中正區重慶南路一段83號5樓,勤業眾信聯合會計師事務所,張至誼,洪國田,Yummy Town,"Oleander Way, 802 West Bay Road, P.O. Box 32052, Grand Cayman KY1-1208, CaymanCayman Island",(02)2790-0601,affairs@yummy-town.com,http://www.yummy-town.tw/,37922454
1150211,2729,瓦城泰統股份有限公司,瓦城,－ ,16,新北市中和區建一路176號7樓之1,70843031,徐承義,徐承義,羅琬萱,財務暨會計主管,陳俐伶,(02)8227-1280,20000908,20120917,新台幣                 10.0000元,430407830,0,0,1,富邦綜合證券(股)公司,02-23611300,台北市中正區許昌街17號11樓,資誠聯合會計師事務所,王菘澤,游淑芬,TTFB,"7F.-1, No.176, Jian 1st Rd., Zhonghe Dist.,New Taipei City 235, Taiwan (R.O.C.)",(02)8227-1290,IR@ttfb.com,http://www.ttfb.com,43040783
