broker_id,broker_group,broker_name,branch_name,address,city,phone,date,source,note,broker_org_type,seat_type,is_proprietary,id_quality,broker_category_ids,wantgoo_name,wantgoo_match_score,wantgoo_in_foreign_list,wantgoo_notes,city_quality,record_source
981A,元大,元大-三峽,三峽,新北市三峽區學勤路13號,新北市,02-26776611,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989F,元大,元大-三民,三民,高雄市三民區民族一路462號2樓,高雄市,07-3855678,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
988C,元大,元大-三重,三重,新北市三重區重新路3段111號2樓,新北市,02-89857788,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
983G,元大,元大-上新莊,上新莊,新北市新莊區思源路173號2樓,新北市,02-89911188,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989e,元大,元大-中和,中和,新北市中和區中和路102號5樓,新北市,02-22452299,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9834,元大,元大-中壢,中壢,桃園市中壢區中央東路7號3、4樓,桃園市,03-4227188,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
980a,元大,元大-中山北路,中山北路,臺北市中山區中山北路2段129號2樓之1、2樓之2,臺北市,02-25975888,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9813,元大,元大-中崙,中崙,臺北市松山區敦化南路1段66號1樓,臺北市,02-25786666,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
983j,元大,元大-仁愛,仁愛,臺北市大安區敦化南路1段225號2樓、2樓之2,臺北市,02-27067777,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981e,元大,元大-佳里,佳里,臺南市佳里區中山路158號之一2樓之2、3樓,臺南市,06-7232888,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989m,元大,元大-信義,信義,台北市忠孝東路5段293號2樓部分,台北市,02-87878732,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989N,元大,元大-內湖,內湖,台北市內湖區成功路4段166號地下1樓部分及168號3樓,台北市,02-27933636,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9867,元大,元大-內湖民權,內湖民權,台北市民權東路6段160號2樓之1,台北市,02-27928288,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
982C,元大,元大-六合,六合,高雄市新興區民族二路97號4樓,高雄市,07-2364788,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989V,元大,元大-北三重,北三重,新北市三重區正義北路195號2樓,新北市,02-29713311,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989d,元大,元大-北屯,北屯,臺中市北屯區崇德路3段115號2樓,臺中市,04-22389555,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
980D,元大,元大-北府,北府,臺南市北區西門路3段157號2樓,臺南市,06-2353366,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989A,元大,元大-北投,北投,台北市北投區北投路2段13號3樓,台北市,02-28961212,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9837,元大,元大-北港,北港,雲林縣北港鎮文化路40號4樓,雲林縣,05-7838222,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9862,元大,元大-南京,南京,台北市南京東路3段219號2樓,台北市,02-27188888,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
984E,元大,元大-南勢角,南勢角,新北市中和區景新街347號6樓之1,新北市,02-86689955,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9853,元大,元大-南屯,南屯,台中市南屯區向上路1段580號1、2樓,台中市,04-23269999,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
980Q,元大,元大-南崁,南崁,桃園市蘆竹區中正路311號3樓,桃園市,03-3527777,2010/2/8,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981D,元大,元大-南投,南投,南投縣南投市中山街202號4樓之2、之3、之5,南投縣,049-2232111,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
980R,元大,元大-南海,南海,臺北市中正區南海路1號4樓,臺北市,02-23975399,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
982B,元大,元大-博愛,博愛,高雄市左營區明誠二路359號部分、3樓、4樓部分,高雄市,07-5571133,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989k,元大,元大-古亭,古亭,台北市羅斯福路3段37號2樓,台北市,02-23698877,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9812,元大,元大-台中,台中,台中市中區自由路2段8號3樓之1,台中市,04-22218777,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989B,元大,元大-台中中港,台中中港,臺中市西區臺灣大道2段489號10樓之2,臺中市,04-23289000,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
980h,元大,元大-台北,台北,台北市重慶南路1段86號6樓,台北市,02-23830968,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9896,元大,元大-台南,台南,台南市長榮路1段203號5樓,台南市,06-2741866,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9824,元大,元大-向上,向上,臺中市西區美村路一段272號2樓,臺中市,04-23028588,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9863,元大,元大-和平,和平,台北市和平東路1段214號2樓、214號2樓之1、214號2樓之2、216號2樓、216號2樓之1及216號2樓之2,台北市,02-23687733,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9889,元大,元大-員林,員林,彰化縣員林鎮大同路2段283號2樓,彰化縣,04-8341188,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9835,元大,元大-員林中山,員林中山,彰化縣員林市育英路61-6號、61-6號2樓,彰化縣,04-8358131,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981y,元大,元大-善化,善化,台南市善化區大成路281號,台南市,06-5830888,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989g,元大,元大-嘉義,嘉義,嘉義市西區林森西路173號3樓,嘉義市,05-2237666,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9831,元大,元大-四維,四維,高雄市苓雅區四維四路3號3樓之1、2、3,高雄市,07-3306666,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989z,元大,元大-國際證券,國際證券,臺北市中山區南京東路2段77號7樓部分,臺北市,02-2718-1234,2014/4/18,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9897,元大,元大-土城,土城,新北市土城區中央路1段255號2樓,新北市,02-22708369,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9822,元大,元大-土城學府,土城學府,新北市土城區學府路1段25號1樓及地下1樓,新北市,02-22635000,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9875,元大,元大-土城永寧,土城永寧,新北市土城區員福街8號1樓、8號2樓、10號1樓、10號2樓,新北市,02-22709191,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989Y,元大,元大-基隆,基隆,基隆市中正區義一路130號2樓,基隆市,02-24246688,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
986K,元大,元大-基隆孝二,基隆孝二,基隆市仁愛區孝二路86之5號,基隆市,02-24202626,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981j,元大,元大-士林,士林,台北市文林路342號2樓,台北市,02-28830202,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989G,元大,元大-大同,大同,台北市大同區南京西路66號2樓,台北市,02-25598585,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9893,元大,元大-大天母,大天母,台北市中山北路6段126號4樓,台北市,02-28312888,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
983N,元大,元大-大安,大安,台北市和平東路2段347號3樓,台北市,02-27541866,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9815,元大,元大-大灣,大灣,臺南市永康區永大路2段179之3號2樓,臺南市,06-2717766,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989U,元大,元大-大甲,大甲,臺中市大甲區中山路1段833之1號,臺中市,04-26883399,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9814,元大,元大-大益,大益,臺南市南區健康路2段176號、176號2樓,臺南市,06-2611151,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9846,元大,元大-大直,大直,臺北市中山區樂群三路56號6樓之2,臺北市,(02)25339955,2022/9/1,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981z,元大,元大-大統,大統,新竹市林森路196號2樓之3,新竹市,03-5226166,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981g,元大,元大-大里,大里,台中市大里區國光路2段259號2樓,台中市,04-24066598,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
983W,元大,元大-大里德芳,大里德芳,臺中市大里區德芳路一段63號2樓,臺中市,04-24833000,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
983i,元大,元大-大雅,大雅,台中市大雅區大雅里民興街39號3樓,台中市,04-25608888,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981I,元大,元大-天母,天母,臺北市士林區天母西路26之1號,臺北市,02-28722345,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981Q,元大,元大-太平,太平,臺中市太平區中興東路62號3、4樓,臺中市,04-22768859,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
983K,元大,元大-學甲,學甲,台南市學甲區華宗路295號,台南市,06-7838989,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989Z,元大,元大-小港,小港,高雄市小港區漢民路381號8樓,高雄市,07-8020068,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981r,元大,元大-屏南,屏南,屏東縣屏東市濟南街10號,屏東縣,08-7361777,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9892,元大,元大-屏東,屏東,屏東縣屏東市廣東路690號2樓之1、3樓,屏東縣,08-7385555,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981h,元大,元大-屏東民生,屏東民生,屏東縣屏東市民生路287號5樓,屏東縣,08-7323789,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
985F,元大,元大-岡山,岡山,高雄市岡山區中山南路517號1、2樓,高雄市,(07)622-9888,2023/9/20,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981S,元大,元大-崇德,崇德,臺中市北屯區崇德路2段46之2號、46之3號,臺中市,04-22333398,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989D,元大,元大-左營,左營,高雄市左營區左營大路158號3、4樓,高雄市,07-5878899,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
980u,元大,元大-府城,府城,臺南市中西區民生路1段165號3樓、5樓、5樓之1,臺南市,06-2206678,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981G,元大,元大-彰化,彰化,彰化縣彰化市華山路37號3樓,彰化縣,04-7257001,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989J,元大,元大-彰化民生,彰化民生,彰化縣彰化市中正路1段292號、296號,彰化縣,04-7261988,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9872,元大,元大-復北,復北,台北市復興北路420號3樓,台北市,02-25095998,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9871,元大,元大-忠孝,忠孝,臺北市大安區忠孝東路4段300號3樓,臺北市,02-27766288,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
982F,元大,元大-忠孝鼎富,忠孝鼎富,台北市大安區忠孝東路4段300號7樓,台北市,02-87739666,2012/11/12,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989L,元大,元大-成功,成功,桃園市成功路1段32號9樓,桃園市,03-3353399,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9833,元大,元大-敦化,敦化,台北市敦化南路2段71號12樓,台北市,02-27541566,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989P,元大,元大-敦南,敦南,臺北市大安區仁愛路3段157號3樓,臺北市,02-27752121,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9868,元大,元大-文心,文心,台中市西屯區文心路3段337號3樓,台中市,04-22932233,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9854,元大,元大-文心興安,文心興安,台中市北屯區文心路4段934之1號2樓,台中市,04-22339983,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9884,元大,元大-斗信,斗信,雲林縣斗六市文化路29號3樓,雲林縣,05-5362088,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
980C,元大,元大-斗六,斗六,雲林縣斗六市中山路82號6樓,雲林縣,05-5353456,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
984C,元大,元大-新店中正,新店中正,新北市新店區中正路225之1號2樓、225號3樓,新北市,02-29155588,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9825,元大,元大-新營,新營,台南市新營區中山路117號2樓,台南市,06-6351600,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981X,元大,元大-新生,新生,台北市中正區新生南路1段148號4樓,台北市,02-23959988,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9869,元大,元大-新盛,新盛,新北市新莊區公園一路141號,新北市,02-29969966,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9816,元大,元大-新竹,新竹,新竹市民生路276號2樓,新竹市,03-5456000,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9859,元大,元大-新竹經國,新竹經國,新竹市經國路2段100號3樓,新竹市,03-5359888,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9898,元大,元大-新莊,新莊,新北市新莊區中原路558號3樓,新北市,02-29977123,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981n,元大,元大-旗山,旗山,高雄市旗山區中山路102號2樓,高雄市,07-6625578,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
984H,元大,元大-景美,景美,台北市文山區景文街1號2樓之1,台北市,02-86638886,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
983M,元大,元大-木柵,木柵,台北市木柵路3段96號3樓之2,台北市,02-86619168,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9817,元大,元大-東泰,東泰,高雄市三民區九如一路73號2樓,高雄市,07-3903333,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989f,元大,元大-東港,東港,屏東縣東港鎮中正路227號2樓,屏東縣,08-8338558,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981p,元大,元大-松山,松山,台北市松山區南京東路5段92號2樓,台北市,02-27535888,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9801,元大,元大-松江,松江,臺北市中山區松江路106號3樓,臺北市,02-25010655,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989C,元大,元大-板橋,板橋,新北市板橋區中山路1段10號6樓,新北市,02-29638000,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9879,元大,元大-板橋三民,板橋三民,新北市板橋區三民路2段40號2樓,新北市,02-29588887,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981K,元大,元大-林園,林園,高雄市林園區鳳林路1段1號2樓,高雄市,07-6433001,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
983B,元大,元大-林森,林森,台南市林森路2段90號地下1樓,台南市,06-2745088,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
988B,元大,元大-桃園,桃園,桃園市桃園區中正路1223號2樓,桃園市,03-3268777,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9894,元大,元大-桃興,桃興,桃園市桃園區復興路96號2樓,桃園市,03-3327700,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
987A,元大,元大-楊梅,楊梅,桃園市楊梅區新成路125號2樓,桃園市,03-4882688,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989j,元大,元大-樹林,樹林,新北市樹林區中山路1段99號3、4樓,新北市,02-26759585,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981a,元大,元大-歸仁,歸仁,台南市歸仁區中山路2段29號3樓,台南市,06-3305888,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989X,元大,元大-民生三民,民生三民,台北市松山區民生東路5段165地下之4號,台北市,02-87872118,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981V,元大,元大-民雄,民雄,嘉義縣民雄鄉保生街212號,嘉義縣,05-2268899,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9891,元大,元大-永和,永和,新北市永和區福和路139號3樓,新北市,02-29201234,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9829,元大,元大-永康,永康,臺南市永康區小東路511號3樓,臺南市,06-2215888,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9852,元大,元大-永春,永春,台北市忠孝東路5段410號3樓、3樓之1、412號3樓之2,台北市,02-87805277,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989Q,元大,元大-汐止,汐止,新北市汐止區新台五路1段159號4樓,新北市,02-26482277,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
980d,元大,元大-沙鹿,沙鹿,台中市沙鹿區沙田路131號5樓,台中市,04-26623311,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9899,元大,元大-淡水,淡水,新北市淡水區中正路67號2、3樓,新北市,02-26251966,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
980e,元大,元大-清水,清水,臺中市清水區中山路170號5樓,臺中市,04-26238585,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981Z,元大,元大-潮州,潮州,屏東縣潮州鎮延平路206號,屏東縣,08-7891678,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981E,元大,元大-發財,發財,新北市新莊區中華路2段5號4樓,新北市,02-29971166,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981F,元大,元大-福營,福營,新北市新莊區龍安路284號1樓及278巷3號2樓,新北市,02-22010011,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981B,元大,元大-竹北,竹北,新竹縣竹北市光明六路85號3樓,新竹縣,03-5536000,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
983V,元大,元大-竹南,竹南,苗栗縣竹南鎮博愛街29號4樓,苗栗縣,03-7477890,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981R,元大,元大-竹山,竹山,南投縣竹山鎮集山路3段919號2樓、橫街93號3樓,南投縣,049-2652633,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
983f,元大,元大-竹東,竹東,新竹縣竹東鎮大林路121號,新竹縣,03-5952166,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
980K,元大,元大-竹科,竹科,新竹市光復路1段267號3、4樓,新竹市,03-5679988,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9800,元大,元大,總部,臺北市中山區南京東路3段219號10樓部分、11樓及臺北市中山區南京東路2段77號7樓,臺北市,02-27177777,2007/9/26,finmind,,local,hq,N,official,"BR01,SE01,ID01",,,,,from_address,finmind
982A,元大,元大-羅東,羅東,宜蘭縣羅東鎮中正北路32號,宜蘭縣,03-9532888,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
9856,元大,元大-花蓮,花蓮,花蓮縣花蓮市國聯五路5之5號5樓,花蓮縣,03-8357588,2012/4/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989a,元大,元大-苑裡,苑裡,苗栗縣苑裡鎮客庄里新興路31之8號及31之9號,苗栗縣,37869779,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
981M,元大,元大-苗栗,苗栗,苗栗縣苗栗市中正路462號4樓之1,苗栗縣,037-333611,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
989E,元大,元大-草屯,草屯,南投縣草屯鎮中興路88號2樓,南投縣,049-2354506,2007/9/26,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
